Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,,,,,,,,,,,,,,,
62.650.163,FALSE,FALSE,TRUE,385976,Drawings and Prints,1962,Print,In the Provinces -- The House of Orléans (Valognes),NA,NA,NA,NA,NA,Artist,NA,Félix-Hilaire Buhot,"French, Valognes 1847–1898 Paris",NA,"Buhot, Félix-Hilaire",French,1847,1898,NA,http://vocab.getty.edu/page/ulan/500001377,https://www.wikidata.org/wiki/Q1479447,1860–98,1860,1898,Etching and aquatint, second state of two,"Plate: 5 5/16 x 3 9/16 in. (13.5 x 9 cm)
Sheet: 13 9/16 x 9 5/8 in. (34.5 x 24.5 cm)","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/385976,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,
2019.67,FALSE,FALSE,FALSE,820845,Drawings and Prints,2019,Drawing,"In the Park, from A Love (Opus X)",NA,NA,NA,NA,NA,Artist,NA,Max Klinger,"German, Leipzig 1857–1920 Großjena",NA,"Klinger, Max",NA,1857,1920,NA,http://vocab.getty.edu/page/ulan/500023867,NA,1887,1850,1900,"Pen and black ink and black chalk heightened with white bodycolor 
",Sheet: 16 3/8 × 9 7/8 in. (41.6 × 25.1 cm),"Purchase, Friends of Drawings and Prints Gifts, and Ian Woodner Family Collection and Mr. and Mrs. Francis D. Logan Funds, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/820845,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
2017.276,FALSE,FALSE,FALSE,738885,Modern and Contemporary Art,2017,Untitled,Untitled,NA,NA,NA,NA,NA,Artist,NA,Anna-Bella Papp,"Romanian, Chisineu-Cris 1988",NA,"Papp, Anna-Bella",NA,1988,2088,Female,NA,NA,2016,2016,2016,Ceramic,13 3/4 × 11 7/16 × 1 in. (35 × 29 × 2.5 cm),"Purchase, Christian Keesee Gift, 2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sculpture,© Anna-Bella Papp All Rights Reserved,http://www.metmuseum.org/art/collection/search/738885,NA,NA,"Metropolitan Museum of Art, New York, NY",Abstraction,http://vocab.getty.edu/page/aat/300056508,,,,,,,,,,,,,,,
1986.267.405,FALSE,FALSE,FALSE,36394,Asian Art,1986,Folding fan mounted as an album leaf,近代  謝稚柳  山水  扇面|Landscape,China,NA,NA,NA,NA,Artist,NA,Xie Zhiliu,"Chinese, 1910–1997",NA,"Xie, Zhiliu",Chinese,1910,1997,NA,http://vocab.getty.edu/page/ulan/500339334,NA,dated 1952,1952,1952,Folding fan mounted as an album leaf, ink on alum paper,7 1/4 x 20 1/4 in. (18.4 x 51.4 cm),"Gift of Robert Hatfield Ellsworth, in memory of La Ferne Hatfield Ellsworth, 1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paintings,NA,http://www.metmuseum.org/art/collection/search/36394,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,
21.10.1(13),FALSE,FALSE,FALSE,727538,Drawings and Prints,1921,Print,Grotesque Panel,NA,NA,NA,NA,NA,Artist,NA,Jacques Androuet Du Cerceau,"French, Paris 1510/12–1585 Annecy",NA,"Du Cerceau, Jacques Androuet",NA,1510,1585,NA,http://vocab.getty.edu/page/ulan/500008202,NA,1550,1550,1550,Etching,Sheet (trimmed): 4 1/16 × 2 11/16 in. (10.3 × 6.8 cm),"Rogers Fund, 1921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/727538,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
26.27.3,FALSE,FALSE,TRUE,428919,Drawings and Prints,1926,Print,Anne of Austria,NA,NA,NA,NA,NA,Artist,NA,Robert Nanteuil,"French, Reims 1623–1678 Paris",NA,"Nanteuil, Robert",French,1623,1678,NA,http://vocab.getty.edu/page/ulan/500023363,NA,1671,1671,1671,Engraving, first state of two (Petitjean & Wickert),"Sheet: 20 7/8 × 16 5/8 in. (53.1 × 42.2 cm)
Plate: 19 11/16 × 16 9/16 in. (50 × 42 cm)","Gift of Mrs. Morris Hawkes, 1926
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/428919,NA,NA,"Metropolitan Museum of Art, New York, NY",Queens|Portraits,http://vocab.getty.edu/page/aat/300025483|http://vocab.getty.edu/page/aat/300015637,,,,,,,,,,,,,,
1985.1123.1.10,FALSE,FALSE,TRUE,264364,Photographs,1985,Carte-de-visite,[Man with Bamboo Pole],NA,NA,NA,NA,NA,Artist,NA,Unknown,NA,NA,Unknown,NA,NA,NA,NA,http://vocab.getty.edu/page/ulan/500125274,https://www.wikidata.org/wiki/Q24238356,1870s,1870,1879,Albumen silver print,NA,"Gift of Weston J. Naef, 1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA,http://www.metmuseum.org/art/collection/search/264364,https://www.wikidata.org/wiki/Q96794856,NA,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,,,,,,,,,,,,,,,
19.76.127,FALSE,FALSE,FALSE,725391,Drawings and Prints,1919,Print,Le Basileus chassé,NA,NA,NA,NA,NA,Artist,NA,Jean-Louis Forain,"French, Reims 1852–1931 Paris",NA,"Forain, Jean-Louis",NA,1852,1931,NA,http://vocab.getty.edu/page/ulan/500115211,https://www.wikidata.org/wiki/Q719614,1914–18,1914,1918,Collotype and letterpress,"Image: 11 1/4 in. × 16 in. (28.5 × 40.6 cm)
Sheet: 14 15/16 × 21 9/16 in. (38 × 54.8 cm)","Rogers Fund, 1919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/725391,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
50.575.32,FALSE,FALSE,TRUE,429859,Drawings and Prints,1950,Print,Scène Biblique (Biblical Scene),NA,NA,NA,NA,NA,Artist,NA,Rodolphe Bresdin,"French, Montrelais 1822–1885 Sèvres",NA,"Bresdin, Rodolphe",French,1822,1885,NA,http://vocab.getty.edu/page/ulan/500018116,https://www.wikidata.org/wiki/Q467130,19th century,1839,1885,Etching,"Mount: 4 3/4 × 9 7/16 in. (12 × 24 cm)
Sheet: 2 5/8 × 3 3/4 in. (6.7 × 9.5 cm)","The J. B. Neumann Collection, Gift of Dr. Franz H. Hirschland, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/429859,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
67.539.106,FALSE,FALSE,FALSE,838778,Drawings and Prints,1967,Print,La Grisette métromane,NA,NA,NA,NA,NA,Artist,NA,Charles Motte,"French, 1785–1836",NA,"Motte, Charles",NA,1785,1836,NA,http://vocab.getty.edu/page/ulan/500040894,NA,19th century,1800,1899,Lithograph,Sheet: 8 7/8 × 6 3/16 in. (22.5 × 15.7 cm),"Purchase, Harry G. Friedman Bequest, 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/838778,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
67.762.101,FALSE,FALSE,FALSE,348243,Drawings and Prints,1967,Drawing,"""Mes Cordiales Felicitations"": Cover Design for ""Harper's Bazar""",NA,NA,NA,NA,NA,Artist,NA,Erté (Romain de Tirtoff),"French (born Russia), St. Petersburg 1892–1990 Paris",NA,Erté (Romain de Tirtoff),"French, born Russia",1892,1990,NA,http://vocab.getty.edu/page/ulan/500022996,https://www.wikidata.org/wiki/Q984309,December 1927,1927,1927,Gouache on cardboard,sheet: 15 x 11 5/16 in. (38.1 x 28.8 cm),"Purchase, The Martin Foundation Inc. Gift, 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,"© 2020 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/348243,NA,NA,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,,,,,,,,,,,,,,,
49.97.372,FALSE,FALSE,FALSE,370509,Drawings and Prints,1949,Print,Sloth,NA,NA,NA,NA,NA,Artist,Engraved by,Enea Vico,"Italian, Parma 1523–1567 Ferrara",NA,"Vico, Enea",Italian,1523,1567,NA,http://vocab.getty.edu/page/ulan/500011571,NA,ca. 1545–50,1540,1555,Engraving,plate: 3 1/8 x 3 1/16 in. (8 x 7.8 cm) trimmed just outside platemark,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/370509,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
"1978.492.1a,b",FALSE,FALSE,FALSE,481844,Modern and Contemporary Art,1978,Table,Table,NA,NA,NA,NA,NA,Artist,NA,Joseph Urban,"American (born Austria), Vienna 1872–1933 New York",NA,"Urban, Joseph","American, born Austria",1872,1933,NA,http://vocab.getty.edu/page/ulan/500005283,https://www.wikidata.org/wiki/Q85017,ca. 1920,1920,1920,"Wood, silk","H. 23-7/8, W. 16, D.16 in. (60.6 x 40.6 x 40.6 cm)
Insert: H. 17, W. 17-1/2 in. (43.2 x 44.5 cm)
","Purchase, Gifts in memory of Emil Blasberg, 1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Woodwork-Furniture,NA,http://www.metmuseum.org/art/collection/search/481844,NA,NA,"Metropolitan Museum of Art, New York, NY",Flowers|Tables,http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300039548,,,,,,,,,,,,,,,
52.570.200,FALSE,FALSE,TRUE,346400,Drawings and Prints,1952,Drawing,Frontal View of the Main Carved Wooden Structure of a Carriage,NA,NA,NA,NA,NA,Artist,NA,"Anonymous, Italian, late 17th to early 18th century",NA,NA,"Anonymous, Italian, 17th late–18th century early",Italian,1650,1750,NA,NA,NA,NA,1675,1725,"Leadpoint, pen and gray and brown wash, left side in leadpoint and on larger scale than right side which is in pen and gray and brown wash",sheet: 12 1/2 x 8 3/4 in. (31.8 x 22.2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/346400,NA,NA,"Metropolitan Museum of Art, New York, NY",Faces,http://vocab.getty.edu/page/aat/300251798,,,,,,,,,,,,,,,
32.35(119),FALSE,FALSE,TRUE,400044,Drawings and Prints,1932,Print,The Second Stage of Cruelty (The Four Stages of Cruelty),NA,NA,NA,NA,NA,Artist,NA,William Hogarth,"British, London 1697–1764 London",NA,"Hogarth, William",British,1697,1764,NA,http://vocab.getty.edu/page/ulan/500004242,https://www.wikidata.org/wiki/Q171344,"February 1, 1751",1751,1751,Etching and engraving, first state of two,sheet: 14 15/16 x 12 5/8 in. (37.9 x 32 cm),"Harris Brisbane Dick Fund, 1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/400044,NA,NA,"Metropolitan Museum of Art, New York, NY",Streets|Children|Men|Horses|Sheep,http://vocab.getty.edu/page/aat/300008247|http://vocab.getty.edu/page/aat/300025945|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300250284,,,,,,,,,,,,,,
1993.253,FALSE,FALSE,TRUE,335534,Drawings and Prints,1993,Drawing,The Soldier Carrying His Pike at the Slope,NA,NA,NA,NA,NA,Artist,NA,Jacques de Gheyn II,"Netherlandish, Antwerp 1565–1629 The Hague",NA,"Gheyn, Jacques de, II",Netherlandish,1565,1629,NA,http://vocab.getty.edu/page/ulan/500115191,https://www.wikidata.org/wiki/Q1347434,late 16th–early 17th century,1580,1629,"Pen and brown ink, gray wash; incised for transfer",10 5/8 x 7 7/16 in.  (27 x 18.9 cm),"Harry G. Sperling Fund, 1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/335534,NA,NA,"Metropolitan Museum of Art, New York, NY",Soldiers|Weapons,http://vocab.getty.edu/page/aat/300185678|http://vocab.getty.edu/page/aat/300036926,,,,,,,,,,,,,,,
1981.1229.57 (14),FALSE,FALSE,FALSE,289091,Photographs,1981,Carte-de-visite,[Portrait of Mr. Mylton of Leamington],NA,NA,NA,NA,NA,Artist,NA,Henry Peach Robinson,"British, Ludlow, Shropshire 1830–1901 Tunbridge Wells, Kent",NA,"Robinson, Henry Peach",British,1830,1901,NA,http://vocab.getty.edu/page/ulan/500000062,NA,ca. 1860s,1860,1860,Albumen silver print,NA,"Robert O. Dougan Collection, Gift of Warner Communications Inc., 1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA,http://www.metmuseum.org/art/collection/search/289091,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
1981.1158.42,FALSE,FALSE,FALSE,284076,Photographs,1981,Photograph,[Man],NA,NA,NA,NA,NA,Artist,NA,Unknown,American,NA,Unknown,NA,NA,NA,NA,http://vocab.getty.edu/page/ulan/500125274,https://www.wikidata.org/wiki/Q24238356,1850s,1850,1859,daguerreotype,9.5 x 7 cm (3 3/4 x 2 3/4 in. ),"Gift of Mrs. A. Hyatt Mayor, 1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA,http://www.metmuseum.org/art/collection/search/284076,https://www.wikidata.org/wiki/Q96807197,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
2007.486.4,FALSE,FALSE,FALSE,382208,Drawings and Prints,2007,Print,Carnival,NA,NA,NA,NA,NA,Artist,NA,Boris Margo,"American, born Ukraine, 1902–1995",NA,"Margo, Boris",American,1902,1995,NA,http://vocab.getty.edu/page/ulan/500043689,NA,1946,1946,1946,Cellocut,15-3/4 x 19-3/4 inches,"Gift of Murray Zimiles, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/382208,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
49.95.2522,FALSE,FALSE,FALSE,334134,Drawings and Prints,1949,Print,Christ on the Road to Calvary,NA,NA,NA,NA,NA,Artist,NA,Nicolaes Braeu,"Netherlandish, active Haarlem, ca. 1586–died 1600",NA,"Braeu, Nicolaes",Netherlandish,1586,1600,NA,NA,NA,late 16th century,1580,1600,engraving,NA,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA,http://www.metmuseum.org/art/collection/search/334134,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
53.652.11,FALSE,FALSE,FALSE,362814,Drawings and Prints,1953,Drawing,Design and plan for a pulpit,NA,NA,NA,NA,NA,Artist,NA,Thomas W. Sumner,"American, born Boston, Massachusetts, 19th century",NA,"Sumner, Thomas W.",American,1800,1900,NA,http://vocab.getty.edu/page/ulan/500098859,NA,ca. 1828,1823,1833,"Pen, ink, watercolor",sheet: 12 3/8 x 12 3/4 in. (31.4 x 32.4 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/362814,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
1975.535.2,FALSE,FALSE,FALSE,261257,Photographs,1975,Photograph,Doll Head II,NA,NA,NA,NA,NA,Artist,NA,Rosalind Solomon,"American, born 1930",NA,"Solomon, Rosalind",American,1930,9999,Female,http://vocab.getty.edu/page/ulan/500037071,NA,1975,1975,1975,Gelatin silver print,33.0 x 22.4 cm. (13  x 8  13/16  in.),"Gift of the artist, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Photographs,NA,http://www.metmuseum.org/art/collection/search/261257,NA,NA,"Metropolitan Museum of Art, New York, NY",NA,NA,,,,,,,,,,,,,,,
1994.254.241,FALSE,FALSE,FALSE,273572,Photographs,1994,Negative,"[Peggy Hobson, Long Island, New York]",NA,NA,NA,NA,NA,Artist,NA,Walker Evans,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut",NA,"Evans, Walker",American,1903,1975,NA,http://vocab.getty.edu/page/ulan/500012076,https://www.wikidata.org/wiki/Q363308,July 1937,1937,1937,Film negative,4 x 5 in.,"Walker Evans Archive, 1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negatives,"© Walker Evans Archive, The Metropolitan Museum of Art",http://www.metmuseum.org/art/collection/search/273572,NA,NA,"Metropolitan Museum of Art, New York, NY",Women|Portraits,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300015637,,,,,,,,,,,,,,,
61.53,FALSE,FALSE,TRUE,341618,Drawings and Prints,1961,Drawing,"Scene from the Last Judgment, Study for the Fresco Decoration of One of the Segments of the Cupola of the Cathedral of Santa Maria del Fiore in Florence",NA,NA,NA,NA,NA,Artist,NA,Federico Zuccaro (Zuccari),"Italian, Sant'Angelo in Vado 1540/42–1609 Ancona",NA,"Zuccaro, Federico",Italian,1540,1609,NA,http://vocab.getty.edu/page/ulan/500020194,NA,1576–79,1576,1579,"Pen and brown ink, brush and brown wash, over red chalk on ecru paper. The paper is cut to the shape of a segment of an octagonal cupola",maximum: 17-5/8 x 9-13/16 in.  (44.8 x 24.9 cm),"Rogers Fund, 1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA,http://www.metmuseum.org/art/collection/search/341618,NA,NA,"Metropolitan Museum of Art, New York, NY",Men|Male Nudes|Cupid,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300380105,,,,,,,,,,,,,,,
